FILE | FUNCTION | METHOD | URL_EXPRESSION
C:\Users\FORGE\Downloads\Intern-repo\Intern-repo\test-lab-frontend\src\services\dashboard\dashboard.queries.ts | useGetDashboardData | GET | "/api/dashboard/data"
C:\Users\FORGE\Downloads\Intern-repo\Intern-repo\test-lab-frontend\src\services\documents\document.queries.ts | useExportDocumentMutation | GET | url
C:\Users\FORGE\Downloads\Intern-repo\Intern-repo\test-lab-frontend\src\services\environments\environment.queries.ts | useGetPaginatedEnvironmentsQuery | GET | `/api/environments/paginated?page=${page}&limit=${size}&projectId=${projectId}`
C:\Users\FORGE\Downloads\Intern-repo\Intern-repo\test-lab-frontend\src\services\environments\environment.queries.ts | useCreateEnvironmentMutation | POST | "/api/environments"
C:\Users\FORGE\Downloads\Intern-repo\Intern-repo\test-lab-frontend\src\services\environments\environment.queries.ts | useUpdateEnvironmentMutation | PUT | `/api/environments/${payload?.id}`
C:\Users\FORGE\Downloads\Intern-repo\Intern-repo\test-lab-frontend\src\services\environments\environment.queries.ts | useDeleteEnvironmentMutation | DELETE | `/api/environments/${payload?.id}`
C:\Users\FORGE\Downloads\Intern-repo\Intern-repo\test-lab-frontend\src\services\projects\project.queries.ts | useGetProjectsQuery | GET | `/api/projects`
C:\Users\FORGE\Downloads\Intern-repo\Intern-repo\test-lab-frontend\src\services\projects\project.queries.ts | useGetPaginatedProjectsQuery | GET | `/api/projects/paginated?page=${page}&limit=${size}`
C:\Users\FORGE\Downloads\Intern-repo\Intern-repo\test-lab-frontend\src\services\projects\project.queries.ts | useCreateProjectMutation | POST | "/api/projects"
C:\Users\FORGE\Downloads\Intern-repo\Intern-repo\test-lab-frontend\src\services\projects\project.queries.ts | useUpdateProjectMutation | PUT | `/api/projects/${payload?.id}`
C:\Users\FORGE\Downloads\Intern-repo\Intern-repo\test-lab-frontend\src\services\projects\project.queries.ts | useDeleteProjectMutation | DELETE | `/api/projects/${payload?.id}`
C:\Users\FORGE\Downloads\Intern-repo\Intern-repo\test-lab-frontend\src\services\projects\project.queries.ts | useExportProjectsMutation | POST | `/api/projects/export`
C:\Users\FORGE\Downloads\Intern-repo\Intern-repo\test-lab-frontend\src\services\specifications\specifications.queries.ts | useGetEpicsByProjectIdQuery | GET | `/api/specs/${payload?.projectId}`
